Module          | Self CPU total | CPU total | Self CUDA total | CUDA total | Number of Calls
----------------|----------------|-----------|-----------------|------------|----------------
GPT2LMHeadModel |                |           |                 |            |                
├── transformer |                |           |                 |            |                
│├── wte        | 41.129ms       | 69.560ms  | 20.559ms        | 34.453ms   | 512            
│├── wpe        | 34.706ms       | 59.185ms  | 11.140ms        | 15.568ms   | 512            
│├── h          |                |           |                 |            |                
││├── 0         |                |           |                 |            |                
│││├── ln_1     | 157.138ms      | 185.123ms | 105.394ms       | 110.213ms  | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 452.317ms      | 460.930ms | 412.450ms       | 412.450ms  | 512            
││││└── c_proj  | 57.366ms       | 63.330ms  | 12.153ms        | 12.153ms   | 512            
│││├── ln_2     | 154.325ms      | 181.908ms | 119.874ms       | 124.693ms  | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 77.918ms       | 85.499ms  | 22.434ms        | 22.434ms   | 512            
││││└── c_proj  | 76.349ms       | 82.862ms  | 24.442ms        | 24.442ms   | 512            
││├── 1         |                |           |                 |            |                
│││├── ln_1     | 153.549ms      | 180.793ms | 89.124ms        | 93.945ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 63.149ms       | 71.596ms  | 20.053ms        | 20.053ms   | 512            
││││└── c_proj  | 56.766ms       | 62.939ms  | 12.144ms        | 12.144ms   | 512            
│││├── ln_2     | 152.663ms      | 179.799ms | 93.842ms        | 98.661ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 75.798ms       | 83.157ms  | 20.103ms        | 20.103ms   | 512            
││││└── c_proj  | 79.444ms       | 85.693ms  | 21.860ms        | 21.860ms   | 512            
││├── 2         |                |           |                 |            |                
│││├── ln_1     | 156.843ms      | 183.675ms | 118.527ms       | 123.346ms  | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 57.771ms       | 65.017ms  | 24.576ms        | 24.576ms   | 512            
││││└── c_proj  | 55.424ms       | 61.306ms  | 16.730ms        | 16.730ms   | 512            
│││├── ln_2     | 157.151ms      | 184.882ms | 116.852ms       | 121.671ms  | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 77.403ms       | 85.137ms  | 31.553ms        | 31.553ms   | 512            
││││└── c_proj  | 76.055ms       | 82.383ms  | 19.697ms        | 19.697ms   | 512            
││├── 3         |                |           |                 |            |                
│││├── ln_1     | 152.449ms      | 179.368ms | 91.530ms        | 96.369ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 59.329ms       | 66.799ms  | 15.324ms        | 15.324ms   | 512            
││││└── c_proj  | 55.854ms       | 61.857ms  | 12.200ms        | 12.200ms   | 512            
│││├── ln_2     | 154.201ms      | 181.763ms | 115.156ms       | 124.651ms  | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 77.068ms       | 84.454ms  | 22.527ms        | 22.527ms   | 512            
││││└── c_proj  | 75.116ms       | 81.223ms  | 33.695ms        | 33.695ms   | 512            
││├── 4         |                |           |                 |            |                
│││├── ln_1     | 153.581ms      | 180.664ms | 119.588ms       | 124.409ms  | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 57.334ms       | 64.421ms  | 15.352ms        | 15.352ms   | 512            
││││└── c_proj  | 55.827ms       | 61.729ms  | 12.197ms        | 12.197ms   | 512            
│││├── ln_2     | 153.199ms      | 180.462ms | 117.760ms       | 122.581ms  | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 77.998ms       | 85.596ms  | 22.376ms        | 22.376ms   | 512            
││││└── c_proj  | 76.570ms       | 82.830ms  | 22.019ms        | 22.019ms   | 512            
││├── 5         |                |           |                 |            |                
│││├── ln_1     | 154.135ms      | 181.327ms | 75.042ms        | 79.863ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 59.596ms       | 67.136ms  | 15.363ms        | 15.363ms   | 512            
││││└── c_proj  | 56.277ms       | 62.270ms  | 14.727ms        | 14.727ms   | 512            
│││├── ln_2     | 153.656ms      | 181.076ms | 107.238ms       | 112.060ms  | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 76.114ms       | 83.390ms  | 17.610ms        | 17.610ms   | 512            
││││└── c_proj  | 75.772ms       | 82.551ms  | 19.625ms        | 19.625ms   | 512            
