Module          | Self CPU total | CPU total | Self CUDA total | CUDA total | Number of Calls
----------------|----------------|-----------|-----------------|------------|----------------
GPT2LMHeadModel |                |           |                 |            |
├── transformer |                |           |                 |            |
│├── wte        | 40.481ms       | 70.192ms  | 17.260ms        | 28.342ms   | 512
│├── wpe        | 30.721ms       | 52.277ms  | 10.643ms        | 15.121ms   | 512
│├── h          |                |           |                 |            |
││├── 0         |                |           |                 |            |
│││├── ln_1     | 145.710ms      | 171.470ms | 75.646ms        | 80.538ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 409.846ms      | 417.350ms | 370.275ms       | 370.275ms  | 512
││││└── c_proj  | 52.417ms       | 58.087ms  | 14.303ms        | 14.303ms   | 512
│││├── ln_2     | 144.322ms      | 169.856ms | 70.889ms        | 75.785ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 69.701ms       | 76.270ms  | 19.948ms        | 19.948ms   | 512
││││└── c_proj  | 69.753ms       | 75.593ms  | 19.448ms        | 19.448ms   | 512
││├── 1         |                |           |                 |            |
│││├── ln_1     | 145.049ms      | 170.586ms | 82.736ms        | 87.622ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 53.209ms       | 60.116ms  | 17.466ms        | 17.466ms   | 512
││││└── c_proj  | 54.137ms       | 59.419ms  | 14.238ms        | 14.238ms   | 512
│││├── ln_2     | 144.309ms      | 169.906ms | 84.153ms        | 91.429ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 69.481ms       | 76.106ms  | 22.244ms        | 22.244ms   | 512
││││└── c_proj  | 70.014ms       | 75.719ms  | 19.318ms        | 19.318ms   | 512
││├── 2         |                |           |                 |            |
│││├── ln_1     | 143.009ms      | 168.197ms | 87.584ms        | 92.486ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 51.854ms       | 58.482ms  | 15.068ms        | 15.068ms   | 512
││││└── c_proj  | 49.997ms       | 55.153ms  | 11.880ms        | 11.880ms   | 512
│││├── ln_2     | 141.913ms      | 166.953ms | 85.136ms        | 90.028ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 71.194ms       | 77.587ms  | 19.948ms        | 19.948ms   | 512
││││└── c_proj  | 69.515ms       | 75.172ms  | 26.612ms        | 26.612ms   | 512
││├── 3         |                |           |                 |            |
│││├── ln_1     | 143.006ms      | 168.185ms | 73.235ms        | 78.131ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 60.580ms       | 67.438ms  | 21.683ms        | 21.683ms   | 512
││││└── c_proj  | 51.896ms       | 57.291ms  | 14.261ms        | 14.261ms   | 512
│││├── ln_2     | 149.308ms      | 175.415ms | 85.282ms        | 92.597ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 70.759ms       | 77.519ms  | 22.267ms        | 22.267ms   | 512
││││└── c_proj  | 70.569ms       | 76.330ms  | 26.623ms        | 26.623ms   | 512
││├── 4         |                |           |                 |            |
│││├── ln_1     | 144.722ms      | 170.233ms | 92.373ms        | 97.266ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 53.527ms       | 60.220ms  | 15.072ms        | 15.072ms   | 512
││││└── c_proj  | 50.905ms       | 56.315ms  | 11.866ms        | 11.866ms   | 512
│││├── ln_2     | 144.760ms      | 170.316ms | 87.571ms        | 92.462ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 68.219ms       | 74.596ms  | 17.460ms        | 17.460ms   | 512
││││└── c_proj  | 69.614ms       | 75.294ms  | 19.428ms        | 19.428ms   | 512
││├── 5         |                |           |                 |            |
│││├── ln_1     | 142.945ms      | 168.128ms | 85.269ms        | 90.170ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 53.247ms       | 60.109ms  | 15.034ms        | 15.034ms   | 512
││││└── c_proj  | 50.220ms       | 55.425ms  | 11.959ms        | 11.959ms   | 512
│││├── ln_2     | 144.403ms      | 169.753ms | 101.940ms       | 106.833ms  | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 68.679ms       | 75.157ms  | 17.653ms        | 17.653ms   | 512
││││└── c_proj  | 69.829ms       | 75.609ms  | 19.467ms        | 19.467ms   | 512
││├── 6         |                |           |                 |            |
│││├── ln_1     | 143.458ms      | 168.772ms | 75.614ms        | 80.501ms   | 512
