Module          | Self CPU total | CPU total | Self CUDA total | CUDA total | Number of Calls
----------------|----------------|-----------|-----------------|------------|----------------
GPT2LMHeadModel |                |           |                 |            |
├── transformer |                |           |                 |            |
│├── wte        | 31.810ms       | 53.998ms  | 13.398ms        | 20.643ms   | 512
│├── wpe        | 27.130ms       | 46.513ms  | 11.899ms        | 17.676ms   | 512
│├── h          |                |           |                 |            |
││├── 0         |                |           |                 |            |
│││├── ln_1     | 124.601ms      | 147.298ms | 70.801ms        | 75.684ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 354.198ms      | 360.281ms | 353.967ms       | 353.967ms  | 512
││││└── c_proj  | 46.800ms       | 51.778ms  | 25.737ms        | 25.737ms   | 512
│││├── ln_2     | 126.282ms      | 148.381ms | 68.364ms        | 73.246ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.151ms       | 45.199ms  | 42.503ms        | 42.503ms   | 512
││││└── c_proj  | 47.269ms       | 52.605ms  | 46.788ms        | 46.788ms   | 512
││├── 1         |                |           |                 |            |
│││├── ln_1     | 123.997ms      | 145.834ms | 70.786ms        | 78.054ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.236ms       | 45.304ms  | 36.747ms        | 36.747ms   | 512
││││└── c_proj  | 45.735ms       | 50.723ms  | 25.336ms        | 25.336ms   | 512
│││├── ln_2     | 123.698ms      | 145.314ms | 70.752ms        | 75.630ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 38.990ms       | 45.008ms  | 42.773ms        | 42.773ms   | 512
││││└── c_proj  | 47.377ms       | 52.766ms  | 46.511ms        | 46.511ms   | 512
││├── 2         |                |           |                 |            |
│││├── ln_1     | 124.306ms      | 146.262ms | 68.358ms        | 73.237ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.194ms       | 45.265ms  | 36.783ms        | 36.783ms   | 512
││││└── c_proj  | 45.592ms       | 50.526ms  | 25.403ms        | 25.403ms   | 512
│││├── ln_2     | 123.672ms      | 145.252ms | 68.425ms        | 73.308ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.062ms       | 45.071ms  | 42.993ms        | 42.993ms   | 512
││││└── c_proj  | 47.087ms       | 52.368ms  | 46.722ms        | 46.722ms   | 512
││├── 3         |                |           |                 |            |
│││├── ln_1     | 123.555ms      | 145.103ms | 68.402ms        | 73.280ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.154ms       | 45.334ms  | 39.388ms        | 39.388ms   | 512
││││└── c_proj  | 45.397ms       | 50.317ms  | 25.736ms        | 25.736ms   | 512
│││├── ln_2     | 123.397ms      | 144.859ms | 70.741ms        | 75.619ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 38.911ms       | 45.009ms  | 42.740ms        | 42.740ms   | 512
││││└── c_proj  | 47.079ms       | 52.336ms  | 46.377ms        | 46.377ms   | 512
││├── 4         |                |           |                 |            |
│││├── ln_1     | 123.683ms      | 145.358ms | 68.403ms        | 73.279ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.668ms       | 46.089ms  | 39.237ms        | 39.237ms   | 512
││││└── c_proj  | 45.612ms       | 50.600ms  | 25.486ms        | 25.486ms   | 512
│││├── ln_2     | 123.699ms      | 145.277ms | 70.734ms        | 75.613ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.134ms       | 45.171ms  | 42.699ms        | 42.699ms   | 512
││││└── c_proj  | 47.895ms       | 53.208ms  | 46.411ms        | 46.411ms   | 512
││├── 5         |                |           |                 |            |
│││├── ln_1     | 124.456ms      | 146.104ms | 68.331ms        | 73.208ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.332ms       | 45.433ms  | 37.060ms        | 37.060ms   | 512
││││└── c_proj  | 45.641ms       | 50.599ms  | 25.643ms        | 25.643ms   | 512
│││├── ln_2     | 127.110ms      | 148.776ms | 77.890ms        | 87.553ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.807ms       | 46.153ms  | 42.979ms        | 42.979ms   | 512
││││└── c_proj  | 47.742ms       | 53.117ms  | 48.717ms        | 48.717ms   | 512
││├── 6         |                |           |                 |            |
│││├── ln_1     | 124.425ms      | 146.257ms | 70.779ms        | 75.651ms   | 512
