node1 -- Embedding: 2-2 -- forward_compute_time=55.635, backward_compute_time=0.000, activation_size=409600, parameter_size=321644800
node2 -- Embedding: 2-3 -- forward_compute_time=43.46, backward_compute_time=0.000, activation_size=409600, parameter_size=6553600
node3 -- LayerNorm: 4-1 -- forward_compute_time=201.883, backward_compute_time=0.000, activation_size=409600, parameter_size=12800
node4 -- Conv1D: 5-1 -- forward_compute_time=754.862, backward_compute_time=0.000, activation_size=1228800, parameter_size=30739200
node5 -- Conv1D: 5-2 -- forward_compute_time=85.599, backward_compute_time=0.000, activation_size=409600, parameter_size=10246400
node6 -- LayerNorm: 4-3 -- forward_compute_time=208.279, backward_compute_time=0.000, activation_size=409600, parameter_size=12800
node7 -- Conv1D: 5-3 -- forward_compute_time=103.553, backward_compute_time=0.000, activation_size=1638400, parameter_size=40985600
node8 -- Conv1D: 5-4 -- forward_compute_time=98.176, backward_compute_time=0.000, activation_size=409600, parameter_size=40966400
node9 -- LayerNorm: 4-5 -- forward_compute_time=200.426, backward_compute_time=0.000, activation_size=409600, parameter_size=12800
node10 -- Conv1D: 5-5 -- forward_compute_time=74.895, backward_compute_time=0.000, activation_size=1228800, parameter_size=30739200
node11 -- Conv1D: 5-6 -- forward_compute_time=84.459, backward_compute_time=0.000, activation_size=409600, parameter_size=10246400
node12 -- LayerNorm: 4-7 -- forward_compute_time=200.944, backward_compute_time=0.000, activation_size=409600, parameter_size=12800
node13 -- Conv1D: 5-7 -- forward_compute_time=105.55, backward_compute_time=0.000, activation_size=1638400, parameter_size=40985600
node14 -- Conv1D: 5-8 -- forward_compute_time=95.257, backward_compute_time=0.000, activation_size=409600, parameter_size=40966400
node15 -- LayerNorm: 4-9 -- forward_compute_time=198.307, backward_compute_time=0.000, activation_size=409600, parameter_size=12800
node16 -- Conv1D: 5-9 -- forward_compute_time=74.124, backward_compute_time=0.000, activation_size=1228800, parameter_size=30739200
node17 -- Conv1D: 5-10 -- forward_compute_time=84.021, backward_compute_time=0.000, activation_size=409600, parameter_size=10246400
node18 -- LayerNorm: 4-11 -- forward_compute_time=202.874, backward_compute_time=0.000, activation_size=409600, parameter_size=12800
node19 -- Conv1D: 5-11 -- forward_compute_time=102.704, backward_compute_time=0.000, activation_size=1638400, parameter_size=40985600
node20 -- Conv1D: 5-12 -- forward_compute_time=95.169, backward_compute_time=0.000, activation_size=409600, parameter_size=40966400
node21 -- LayerNorm: 4-13 -- forward_compute_time=199.099, backward_compute_time=0.000, activation_size=409600, parameter_size=12800
node22 -- Conv1D: 5-13 -- forward_compute_time=74.0, backward_compute_time=0.000, activation_size=1228800, parameter_size=30739200
node23 -- Conv1D: 5-14 -- forward_compute_time=83.024, backward_compute_time=0.000, activation_size=409600, parameter_size=10246400
node24 -- LayerNorm: 4-15 -- forward_compute_time=196.413, backward_compute_time=0.000, activation_size=409600, parameter_size=12800
node25 -- Conv1D: 5-15 -- forward_compute_time=101.729, backward_compute_time=0.000, activation_size=1638400, parameter_size=40985600
