node1 -- Embedding: 2-2 -- forward_compute_time=21.662, backward_compute_time=0.000, activation_size=6553600, parameter_size=643289600
node2 -- Embedding: 2-3 -- forward_compute_time=16.683, backward_compute_time=0.000, activation_size=6553600, parameter_size=13107200
node3 -- LayerNorm: 4-1 -- forward_compute_time=76.378, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node4 -- Conv1D: 5-1 -- forward_compute_time=372.723, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node5 -- Conv1D: 5-2 -- forward_compute_time=23.114, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node6 -- LayerNorm: 4-3 -- forward_compute_time=79.728, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node7 -- Conv1D: 5-3 -- forward_compute_time=39.66, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node8 -- Conv1D: 5-4 -- forward_compute_time=44.835, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node9 -- LayerNorm: 4-5 -- forward_compute_time=76.014, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node10 -- Conv1D: 5-5 -- forward_compute_time=32.168, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node11 -- Conv1D: 5-6 -- forward_compute_time=22.28, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node12 -- LayerNorm: 4-7 -- forward_compute_time=76.26, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node13 -- Conv1D: 5-7 -- forward_compute_time=41.887, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node14 -- Conv1D: 5-8 -- forward_compute_time=41.981, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node15 -- LayerNorm: 4-9 -- forward_compute_time=73.7, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node16 -- Conv1D: 5-9 -- forward_compute_time=31.898, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node17 -- Conv1D: 5-10 -- forward_compute_time=22.003, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node18 -- LayerNorm: 4-11 -- forward_compute_time=78.61, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node19 -- Conv1D: 5-11 -- forward_compute_time=39.234, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node20 -- Conv1D: 5-12 -- forward_compute_time=42.062, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node21 -- LayerNorm: 4-13 -- forward_compute_time=75.172, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node22 -- Conv1D: 5-13 -- forward_compute_time=31.403, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node23 -- Conv1D: 5-14 -- forward_compute_time=21.119, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node24 -- LayerNorm: 4-15 -- forward_compute_time=72.154, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node25 -- Conv1D: 5-15 -- forward_compute_time=38.14, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node26 -- Conv1D: 5-16 -- forward_compute_time=44.077, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node27 -- LayerNorm: 4-17 -- forward_compute_time=72.107, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node28 -- Conv1D: 5-17 -- forward_compute_time=31.286, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node29 -- Conv1D: 5-18 -- forward_compute_time=23.667, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node30 -- LayerNorm: 4-19 -- forward_compute_time=76.977, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node31 -- Conv1D: 5-19 -- forward_compute_time=42.715, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node32 -- Conv1D: 5-20 -- forward_compute_time=41.45, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node33 -- LayerNorm: 4-21 -- forward_compute_time=72.124, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node34 -- Conv1D: 5-21 -- forward_compute_time=31.28, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node35 -- Conv1D: 5-22 -- forward_compute_time=20.678, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node36 -- LayerNorm: 4-23 -- forward_compute_time=76.991, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node37 -- Conv1D: 5-23 -- forward_compute_time=38.317, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node38 -- Conv1D: 5-24 -- forward_compute_time=40.708, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node39 -- LayerNorm: 4-25 -- forward_compute_time=72.316, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node40 -- Conv1D: 5-25 -- forward_compute_time=32.014, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node41 -- Conv1D: 5-26 -- forward_compute_time=23.732, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node42 -- LayerNorm: 4-27 -- forward_compute_time=75.119, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node43 -- Conv1D: 5-27 -- forward_compute_time=38.796, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node44 -- Conv1D: 5-28 -- forward_compute_time=41.222, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node45 -- LayerNorm: 4-29 -- forward_compute_time=73.779, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node46 -- Conv1D: 5-29 -- forward_compute_time=31.889, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node47 -- Conv1D: 5-30 -- forward_compute_time=21.992, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node48 -- LayerNorm: 4-31 -- forward_compute_time=73.453, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node49 -- Conv1D: 5-31 -- forward_compute_time=38.905, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node50 -- Conv1D: 5-32 -- forward_compute_time=41.571, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node51 -- LayerNorm: 4-33 -- forward_compute_time=76.248, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node52 -- Conv1D: 5-33 -- forward_compute_time=34.472, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node53 -- Conv1D: 5-34 -- forward_compute_time=21.512, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node54 -- LayerNorm: 4-35 -- forward_compute_time=80.001, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node55 -- Conv1D: 5-35 -- forward_compute_time=38.589, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node56 -- Conv1D: 5-36 -- forward_compute_time=41.353, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node57 -- LayerNorm: 4-37 -- forward_compute_time=73.594, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node58 -- Conv1D: 5-37 -- forward_compute_time=31.884, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node59 -- Conv1D: 5-38 -- forward_compute_time=21.642, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node60 -- LayerNorm: 4-39 -- forward_compute_time=82.863, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node61 -- Conv1D: 5-39 -- forward_compute_time=41.38, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node62 -- Conv1D: 5-40 -- forward_compute_time=40.379, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node63 -- LayerNorm: 4-41 -- forward_compute_time=79.49, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node64 -- Conv1D: 5-41 -- forward_compute_time=32.155, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node65 -- Conv1D: 5-42 -- forward_compute_time=23.495, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node66 -- LayerNorm: 4-43 -- forward_compute_time=72.596, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node67 -- Conv1D: 5-43 -- forward_compute_time=43.389, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node68 -- Conv1D: 5-44 -- forward_compute_time=40.107, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node69 -- LayerNorm: 4-45 -- forward_compute_time=73.499, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node70 -- Conv1D: 5-45 -- forward_compute_time=32.127, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node71 -- Conv1D: 5-46 -- forward_compute_time=21.973, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node72 -- LayerNorm: 4-47 -- forward_compute_time=79.752, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node73 -- Conv1D: 5-47 -- forward_compute_time=41.886, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node74 -- Conv1D: 5-48 -- forward_compute_time=40.63, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node75 -- LayerNorm: 4-49 -- forward_compute_time=80.939, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node76 -- Conv1D: 5-49 -- forward_compute_time=37.042, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node77 -- Conv1D: 5-50 -- forward_compute_time=24.357, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node78 -- LayerNorm: 4-51 -- forward_compute_time=76.322, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node79 -- Conv1D: 5-51 -- forward_compute_time=39.239, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node80 -- Conv1D: 5-52 -- forward_compute_time=43.162, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node81 -- LayerNorm: 4-53 -- forward_compute_time=76.071, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node82 -- Conv1D: 5-53 -- forward_compute_time=32.086, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node83 -- Conv1D: 5-54 -- forward_compute_time=22.183, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node84 -- LayerNorm: 4-55 -- forward_compute_time=73.399, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node85 -- Conv1D: 5-55 -- forward_compute_time=39.145, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node86 -- Conv1D: 5-56 -- forward_compute_time=43.003, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node87 -- LayerNorm: 4-57 -- forward_compute_time=75.71, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node88 -- Conv1D: 5-57 -- forward_compute_time=31.865, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node89 -- Conv1D: 5-58 -- forward_compute_time=24.316, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node90 -- LayerNorm: 4-59 -- forward_compute_time=73.269, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node91 -- Conv1D: 5-59 -- forward_compute_time=38.799, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node92 -- Conv1D: 5-60 -- forward_compute_time=41.268, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node93 -- LayerNorm: 4-61 -- forward_compute_time=75.746, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node94 -- Conv1D: 5-61 -- forward_compute_time=34.377, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node95 -- Conv1D: 5-62 -- forward_compute_time=21.731, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node96 -- LayerNorm: 4-63 -- forward_compute_time=75.691, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node97 -- Conv1D: 5-63 -- forward_compute_time=39.0, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node98 -- Conv1D: 5-64 -- forward_compute_time=43.306, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
