Module          | Self CPU total | CPU total | Self CUDA total | CUDA total | Number of Calls
----------------|----------------|-----------|-----------------|------------|----------------
GPT2LMHeadModel |                |           |                 |            |                
├── transformer |                |           |                 |            |                
│├── wte        | 30.762ms       | 51.984ms  | 17.223ms        | 28.298ms   | 512            
│├── wpe        | 27.479ms       | 47.288ms  | 15.485ms        | 24.849ms   | 512            
│├── h          |                |           |                 |            |                
││├── 0         |                |           |                 |            |                
│││├── ln_1     | 124.436ms      | 146.668ms | 76.299ms        | 83.595ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 342.732ms      | 349.125ms | 344.755ms       | 344.755ms  | 512            
││││└── c_proj  | 46.246ms       | 51.253ms  | 29.369ms        | 29.369ms   | 512            
│││├── ln_2     | 127.005ms      | 148.553ms | 76.037ms        | 80.939ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 52.466ms       | 59.278ms  | 51.580ms        | 51.580ms   | 512            
││││└── c_proj  | 47.529ms       | 52.839ms  | 49.316ms        | 49.316ms   | 512            
││├── 1         |                |           |                 |            |                
│││├── ln_1     | 124.041ms      | 145.530ms | 76.048ms        | 80.950ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.545ms       | 47.069ms  | 44.937ms        | 44.937ms   | 512            
││││└── c_proj  | 46.042ms       | 51.050ms  | 27.040ms        | 27.040ms   | 512            
│││├── ln_2     | 123.434ms      | 144.540ms | 75.968ms        | 80.864ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 50.956ms       | 56.976ms  | 51.651ms        | 51.651ms   | 512            
││││└── c_proj  | 47.346ms       | 52.647ms  | 49.090ms        | 49.090ms   | 512            
││├── 2         |                |           |                 |            |                
│││├── ln_1     | 123.806ms      | 145.166ms | 73.709ms        | 78.609ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.191ms       | 46.186ms  | 44.965ms        | 44.965ms   | 512            
││││└── c_proj  | 45.883ms       | 50.802ms  | 26.880ms        | 26.880ms   | 512            
│││├── ln_2     | 123.538ms      | 144.825ms | 78.410ms        | 83.312ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 50.938ms       | 56.969ms  | 51.529ms        | 51.529ms   | 512            
││││└── c_proj  | 47.835ms       | 53.098ms  | 49.148ms        | 49.148ms   | 512            
││├── 3         |                |           |                 |            |                
│││├── ln_1     | 123.855ms      | 145.176ms | 73.654ms        | 78.551ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.403ms       | 46.432ms  | 44.857ms        | 44.857ms   | 512            
││││└── c_proj  | 46.229ms       | 52.013ms  | 26.834ms        | 26.834ms   | 512            
│││├── ln_2     | 123.996ms      | 145.011ms | 73.636ms        | 78.536ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 50.968ms       | 57.097ms  | 51.721ms        | 51.721ms   | 512            
││││└── c_proj  | 47.318ms       | 52.608ms  | 49.155ms        | 49.155ms   | 512            
││├── 4         |                |           |                 |            |                
│││├── ln_1     | 126.808ms      | 151.092ms | 75.976ms        | 80.867ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.323ms       | 46.325ms  | 44.891ms        | 44.891ms   | 512            
││││└── c_proj  | 45.785ms       | 50.697ms  | 26.778ms        | 26.778ms   | 512            
│││├── ln_2     | 123.742ms      | 145.065ms | 73.587ms        | 78.485ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.022ms       | 57.040ms  | 51.790ms        | 51.790ms   | 512            
││││└── c_proj  | 47.308ms       | 52.547ms  | 49.221ms        | 49.221ms   | 512            
││├── 5         |                |           |                 |            |                
│││├── ln_1     | 123.839ms      | 145.196ms | 73.801ms        | 78.713ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 41.065ms       | 47.148ms  | 44.822ms        | 44.822ms   | 512            
││││└── c_proj  | 46.182ms       | 51.215ms  | 26.881ms        | 26.881ms   | 512            
│││├── ln_2     | 124.444ms      | 145.620ms | 73.716ms        | 78.617ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.562ms       | 57.641ms  | 51.708ms        | 51.708ms   | 512            
││││└── c_proj  | 47.693ms       | 53.045ms  | 49.283ms        | 49.283ms   | 512            
